"movie"	"profane"	"word"	"minutes_in"	"year"
"Reservoir Dogs"	"word"	"fuck"	87.73	1992
"Reservoir Dogs"	"FALSE"	NA	88.06	1992
"Reservoir Dogs"	"word"	"hell"	88.38	1992
"Reservoir Dogs"	"word"	"shit"	88.45	1992
"Reservoir Dogs"	"word"	"fucking"	88.76	1992
"Reservoir Dogs"	"word"	"fucking"	89.38	1992
"Reservoir Dogs"	"word"	"fucking"	89.45	1992
"Reservoir Dogs"	"word"	"fucking"	89.48	1992
"Reservoir Dogs"	"word"	"fucking"	89.95	1992
"Reservoir Dogs"	"word"	"hell"	90.1	1992
"Reservoir Dogs"	"word"	"bullshit"	90.15	1992
"Reservoir Dogs"	"word"	"hell"	90.3	1992
"Reservoir Dogs"	"word"	"fuck"	90.36	1992
"Reservoir Dogs"	"word"	"shit"	90.4	1992
"Reservoir Dogs"	"word"	"fucking"	90.5	1992
"Reservoir Dogs"	"word"	"fucking"	90.75	1992
"Reservoir Dogs"	"word"	"shit"	90.88	1992
"Reservoir Dogs"	"word"	"cocksucker"	90.91	1992
"Reservoir Dogs"	"word"	"fucking"	91.15	1992
"Reservoir Dogs"	"word"	"fucking"	91.35	1992
"Reservoir Dogs"	"word"	"fucking"	91.48	1992
"Reservoir Dogs"	"word"	"fucking"	91.75	1992
"Reservoir Dogs"	"word"	"fucking"	91.96	1992
"Reservoir Dogs"	"word"	"fucking"	92.01	1992
"Reservoir Dogs"	"word"	"goddamn"	92.05	1992
"Reservoir Dogs"	"word"	"fucking"	92.13	1992
"Reservoir Dogs"	"FALSE"	NA	92.15	1992
"Reservoir Dogs"	"FALSE"	NA	92.15	1992
"Reservoir Dogs"	"word"	"fucking"	94.73	1992
"Reservoir Dogs"	"word"	"fucking"	94.75	1992
"Reservoir Dogs"	"word"	"fucking"	94.83	1992
"Reservoir Dogs"	"word"	"fucking"	94.9	1992
"Reservoir Dogs"	"word"	"fucking"	95.21	1992
"Reservoir Dogs"	"word"	"fucking"	95.33	1992
"Reservoir Dogs"	"word"	"fucking"	95.33	1992
"Reservoir Dogs"	"FALSE"	NA	95.4	1992
"Reservoir Dogs"	"FALSE"	NA	95.4	1992
"Pulp Fiction"	"word"	"shit"	0.52	1994
"Pulp Fiction"	"word"	"fucking"	0.82	1994
"Pulp Fiction"	"word"	"fuck"	1.37	1994
"Pulp Fiction"	"word"	"fucking"	1.62	1994
"Pulp Fiction"	"word"	"fucking"	1.73	1994
"Pulp Fiction"	"word"	"fucking"	1.77	1994
"Pulp Fiction"	"word"	"fucking"	2.18	1994
"Pulp Fiction"	"word"	"fuck"	2.22	1994
"Pulp Fiction"	"word"	"gook"	2.28	1994
"Pulp Fiction"	"word"	"fuckers"	2.28	1994
"Pulp Fiction"	"word"	"gooks"	2.42	1994
"Pulp Fiction"	"word"	"fucking"	2.45	1994
"Pulp Fiction"	"word"	"fucking"	2.47	1994
"Pulp Fiction"	"word"	"fucking"	2.53	1994
"Pulp Fiction"	"word"	"fuck"	2.6	1994
"Pulp Fiction"	"word"	"fuck"	3.52	1994
"Pulp Fiction"	"word"	"fucking"	3.58	1994
"Pulp Fiction"	"word"	"wetback"	3.67	1994
"Pulp Fiction"	"word"	"fuck"	3.7	1994
"Pulp Fiction"	"word"	"fucking"	4.68	1994
"Pulp Fiction"	"word"	"motherfucking"	4.75	1994
"Pulp Fiction"	"word"	"fucking"	7.7	1994
"Pulp Fiction"	"word"	"shit"	7.87	1994
"Pulp Fiction"	"word"	"fuck"	8.25	1994
"Pulp Fiction"	"word"	"goddamn"	8.67	1994
"Pulp Fiction"	"word"	"fucking"	8.72	1994
"Pulp Fiction"	"word"	"shit"	8.72	1994
"Pulp Fiction"	"word"	"fucking"	9.1	1994
"Pulp Fiction"	"word"	"n-word"	10.08	1994
"Pulp Fiction"	"word"	"fucked"	10.17	1994
"Pulp Fiction"	"word"	"fuck"	10.4	1994
"Pulp Fiction"	"word"	"ass"	10.73	1994
"Pulp Fiction"	"word"	"n-word"	10.75	1994
"Pulp Fiction"	"word"	"n-word"	10.85	1994
"Pulp Fiction"	"word"	"damn"	10.98	1994
"Pulp Fiction"	"word"	"pussy"	11.52	1994
"Pulp Fiction"	"word"	"fucking"	11.55	1994
"Pulp Fiction"	"word"	"bitch"	11.6	1994
"Pulp Fiction"	"word"	"bitch"	11.6	1994
"Pulp Fiction"	"word"	"fucking"	11.63	1994
"Pulp Fiction"	"word"	"fucking"	11.68	1994
"Pulp Fiction"	"word"	"fucking"	11.83	1994
"Pulp Fiction"	"word"	"fucking"	11.88	1994
"Pulp Fiction"	"word"	"shit"	11.92	1994
"Pulp Fiction"	"word"	"fucking"	12.03	1994
"Pulp Fiction"	"word"	"shit"	12.07	1994
"Pulp Fiction"	"word"	"fuck"	12.2	1994
"Pulp Fiction"	"word"	"fuck"	12.27	1994
"Pulp Fiction"	"word"	"motherfucking"	12.88	1994
"Pulp Fiction"	"word"	"fucking"	12.9	1994
"Pulp Fiction"	"word"	"n-word"	12.92	1994
